	icao_code	shortnames
1	RMX	Air Max
2	AWQ	
3	RLI	Reliant Air
4	CDO	Cargo Dor Limited
5	NGF	Air Charity Network
6	ELP	Aerolineas Ejecutivas de San Luis Potoside C.V.
7	CVA	Air Chathams
8	BNA	Bunair Corp
9	COL	SC Aviation Inc.
10	MRK	Markair
11	GCF	Aeronor
12	CCH	Chilchota Taxi Aereo de C.V.
13	RMA	Rocky Mountain
14	WLG	Volga Aviaexpress Company
15	UVG	Universal Airlines
16	CID	Asia Continental Airlines
17	DBR	Dutchbird
18	FSP	Aperture Aviation
19	ELE	S W Electricity Board
20	VGA	Air Vegas
21	GEY	Geyserland Airways Ltd
22	LND	Skargardsflyg Ab, Finland
23	PAX	Pan Air
24	BRA	Braathens South American And Far East Airtransport A/s
25	APS	Aerotransporte Peruanos Internacionales
26	SHR	Shooter Air Courier
27	MPA	Mid-Pacific
28	BLH	Blue Horizon Travel Club
29	AEM	Aero Madrid
30	RPN	US DHS ICE
31	JCT	Jet Charter, Inc
32	ADZ	Aviosarda
33	CEV	Centre D'essais En Vol
34	SKP	Skytrans
35	ERH	Era Helicopters
36	SNR	Aero Sonora de C.V.
37	ARO	Arrow Aviation
38	NDR	Andesmar Lineas Aereas S.A.
39	TUK	New Island Connections D/B/A Ocean Wings Commuter Service
40	AFZ	Africa Freight Services
41	BTH	Air Saint Barthelemy
42	BWY	Fleet Requirements Air Direction Unit
43	LIF	Rocky Mountain Holdings, L.l.c.
44	FAN	Af-Air International
45	RBG	
46	PUL	Ornge Air
47	MCN	Mac Dan Aviation
48	TFL	TUI Airlines
49	UDC	Donbass-Eastern Ukrainian Airlines
50	VKO	Vnukovo
51	LEG	Army Aviation Heritage Foundation
52	KTA	Kirov State Avia Enterprise
53	SNC	Air Cargo Carriers
54	NJS	National Jet Systems Group
55	UIA	Uni Air
56	UWA	United West Airlines
57	IFT	Interflight
58	WES	Western Express
59	RZL	Aero Zambia Limited
60	PHV	
61	ALI	Air Liberia
62	MGE	Aero-Micronesia
63	SNT	Suncoast Aviation
64	UAR	Aerostar
65	LMO	Sky Limo Corp
66	SPO	Aeroservicios Ejecutivos Del Pacifico
67	LYC	Lynden Air Cargo Llc
68	GEG	Georgian Airlines
69	MED	Ontario Ministry Of Health
70	MAF	Aerolineas Mas
71	ITN	Industrias Titan
72	CHG	Challengair
73	DUB	Dubai Airwing
74	NOS	Neos
75	AUL	Nordavia Regional Airlines
76	WTC	Weasua Air Transport Company Limited
77	HDI	Hoteles Dinamicos de C.V.
78	CXO	Conroe Aviation Services
79	AHN	Air Hungaria
80	TAQ	Taunus Air
81	MNR	Monara Air
82	RXA	
83	APN	Aerovia Del Altiplano de C.V.
84	PIN	Pacific International Airlines
85	LNS	Lionair
86	MHV	
87	SAV	Sunair
88	ILU	
89	NSF	Northamptonshire School Of Flying Ltd
90	AHH	Airplanes Holdings
91	PIO	Pioneer
92	RXT	Aeroxtra de C.V.
93	VNA	
94	SFX	S.k. Logistics
95	FAF	Force Aerienne Francaise
96	KTK	Azur Air
97	FAL	Friendship Air Alaska
98	UPL	Ukrainian Pilot School
99	TRJ	Ajt Air International
100	SBO	Stabo Air Limited
101	NHK	Federal Aviation Administration
102	AMX	AeroMéxico
103	RSG	Aero Services
104	TAC	Turbot Air Cargo
105	CPB	Corpac Canada
106	IMG	Imagine Air Jet Services
107	DRI	
108	HWK	Swazi Air Charter
109	NOT	Northaero Airlines
110	FAI	Falcon Air
111	MGA	M G Aviacion S.l.
112	MIV	Mi-Avia
113	TQF	Uk Royal/vip Helicopter Flights
114	TFA	Trans-Florida
115	IFF	Interfreight Forwarding Ltd.
116	PLB	Polus, Center For Parachute And Expeditionary Works
117	QJE	
118	XLF	
119	MUT	Multiservicios Aeronauticos de C.V.
120	VEC	
121	KRS	Korsar
122	AML	Air Malawi
123	USX	US Express
124	UKL	Ukraine Airalliance
125	VHT	Corporate Flight International
126	WIF	Wideroe's Flyveselskap A/s
127	MHS	Air Memphis
128	NSI	Northern Skies Aviation
129	MLE	Moldaeroservice
130	CHL	Cohlmia Aviation
131	MXY	
132	AKM	Acme
133	HAS	Hamburg Airlines
134	KUK	Kudlik Aviation
135	SSS	Compania de Servicios Aereos
136	SKQ	Labcorp
137	TRW	Transwestern Airlines Of Utah
138	SYL	Yakutia Airlines
139	PWL	Powell Air
140	ALY	Alyeska Air Service
141	PRO	Propair
142	TXO	Aerotax Monse de C.V.
143	TFS	Freight Air Service Transport
144	AAP	Astro Air
145	BHP	Belair
146	KSU	Kansas State University
147	FUN	Funtshi
148	ERY	Sky Quest
149	HKR	
150	GRP	Ozark Airlines
151	WCI	Air Care
152	GOW	
153	BYT	Patriot Aviation Limited
154	FHL	Fast Helicopters
155	PNA	Universal
156	ROK	National Airlines
157	RHL	Air Archipels
158	ACK	Nantucket
159	AOG	Aero VIP
160	SVT	Sakhaviatrans
161	AVO	Aerovias Oaxaquenas
162	NWC	New Acs Ltd.
163	HUK	Hungarian-Ukranian Airlines Ltd
164	CIN	Constellation International
165	BBC	Bangladesh Biman
166	LHS	Luhansk, Aviation Enterprise
167	AGM	Aviation West Charters
168	TKA	Air Troika
169	HNT	Helicopteros Internacionales de C.V.
170	IGA	Skytaxi
171	MBL	First City Air Plc
172	CCP	Grand Holdings
173	TIP	C And M Aviation
174	HVA	Newair
175	NEP	Nepc
176	PNS	Survey Udara
177	CWT	Act International Airlines D/B/A Texas Airways
178	KHA	Kitty Hawk Aircargo
179	HBA	Trail Lake Flying Service D/B/A Harbor Air
180	BKA	Bankair
181	TRH	Airmark Aviation
182	GRL	Air Greenland
183	PRY	Priority Air Charter, LLC
184	AMG	Air Material AG
185	MHO	Mokulele
186	HAL	Hawaiian Airlines
187	TMN	Tasman Cargo Airlines
188	ANP	Antonair International
189	EMP	Empire Air Service
190	KSP	Servicios Aereos Especializados En Transportes Petroleros
191	MMN	Pro Airways
192	PAJ	Aliparma
193	FMA	Foremost Aviation
194	SGY	Skagway Air Service
195	GSL	Geographic Air Surveys
196	RGR	Region Air
197	AFG	Ariana Afghan
198	SCA	South Central Air
199	SAS	SAS
200	SFS	Southern Frontier Air Transport
201	AWN	Air Niger
202	LRA	Little Red Air Service
203	VRZ	Aero Veracruz
204	AXY	Air X Charter
205	SWN	West Air Sweden
206	BIS	Irbis
207	AAB	Abelag Aviation
208	EDW	Edelweiss Air AG
209	MAO	Matair Ltd
210	LIX	Air Littoral Express
211	MTJ	Metrojet Limited
212	CHR	Air Charter Services
213	XPS	XP International BV
214	TSP	Transportes Aereos Inter S.A.
215	SVA	Saudia
216	SKX	Skyways AB
217	PRV	Provincial Express
218	AUR	Aurigny Air Services Ltd.
219	GLP	
220	RVN	Qualiflight Training D/B/A/ Raven Air
221	SFN	Safiran
222	LKR	Laker
223	RON	Nauru Air
224	CYN	Zhongyuan Aviation Co.
225	DSK	Aero Algarve, Lda
226	GDR	Gvg
227	INR	Inter Air AB
228	NST	Aviacion Ejecutiva Del Noroeste de C.V.
229	MFC	Moncton Flying Club
230	MXD	
231	JEI	
232	MCO	Aerolineas Marcos de C.V.
233	GXY	Galaxy
234	AAU	Australia Asia Airlines
235	HAR	Harbor Airlines
236	PCR	Pearson Aviation
237	RCH	Air Mobility Command
238	SHD	Sahara
239	GUY	Air Guyane
240	AMC	Air Malta
241	JLN	Eurojet
242	AZG	Silk Way West
243	GFN	The 955 Preservation Group
244	OAS	Oman Aviation Services Company Limited
245	LLA	Servicio Leo Lopez S.A. de C.V.
246	SND	San
247	NYL	Mid Airlines
248	IAK	International Air Cargo
249	WAY	Airways
250	MIS	Midstate
251	GIP	Air Guinee Express
252	MOT	Aeromonterrey S.A.
253	NLS	Nationale Luchtvaartschool B.v.
254	CLL	Aerovias Castillo
255	TFX	
256	INV	Inversia
257	MYT	Mythic
258	CIC	Icc Canada Ltd
